BookingID,CustomerID,CarID,StartDate,EndDate,PickUpLocation,DropOffLocation
88,64,23,2024-02-19,2024-02-06,1,1
89,67,10,2024-03-01,2024-02-17,5,3
90,83,18,2024-01-05,2024-02-14,5,7
91,41,43,2024-05-13,2024-04-19,3,2
92,30,18,2024-02-03,2024-02-16,10,4
93,39,26,2024-03-19,2024-05-11,4,2
94,22,5,2024-05-30,2024-01-03,2,10
95,33,23,2024-03-19,2024-04-01,10,8
96,65,8,2024-05-05,2024-01-17,9,8
97,41,2,2024-03-16,2024-04-22,6,9
98,24,35,2024-04-16,2024-05-27,8,9
99,7,39,2024-02-22,2024-02-02,7,8
100,25,39,2024-03-30,2024-02-17,4,6
101,13,42,2024-05-24,2024-05-29,6,8
102,57,25,2024-02-06,2024-03-14,8,8
103,13,19,2024-02-26,2024-05-28,5,10
104,36,28,2024-05-29,2024-01-24,4,2
105,44,7,2024-01-04,2024-05-12,2,9
106,82,34,2024-01-19,2024-01-07,8,4
107,77,41,2024-01-24,2024-02-07,5,1
108,81,5,2024-05-14,2024-01-09,3,3
109,60,12,2024-05-04,2024-04-20,8,5
110,86,48,2024-02-06,2024-04-20,3,2
111,25,10,2024-03-30,2024-04-19,6,2
112,54,47,2024-02-25,2024-05-13,7,7
113,99,5,2024-04-18,2024-01-04,3,9
114,88,41,2024-04-10,2024-05-03,3,7
115,38,15,2024-03-13,2024-02-21,7,3
116,56,11,2024-03-18,2024-03-12,3,8
117,51,29,2024-02-08,2024-03-21,8,2
118,5,7,2024-01-17,2024-04-25,8,10
119,68,45,2024-05-22,2024-02-05,5,8
120,58,20,2024-01-18,2024-03-19,8,2
121,13,24,2024-03-07,2024-02-23,8,9
122,67,50,2024-02-25,2024-03-03,3,9
123,57,28,2024-05-24,2024-04-11,8,4
124,1,43,2024-05-13,2024-05-21,8,3
125,17,8,2024-02-04,2024-03-02,9,8
126,34,36,2024-03-09,2024-03-17,2,9
127,91,38,2024-04-04,2024-01-09,4,7
128,97,10,2024-05-17,2024-05-08,3,10
129,74,2,2024-04-01,2024-04-10,6,2
130,54,28,2024-02-03,2024-04-29,10,3
131,86,19,2024-04-17,2024-03-17,8,2
132,53,26,2024-02-06,2024-03-09,1,7
133,72,30,2024-02-17,2024-03-03,9,5
134,35,32,2024-03-12,2024-03-15,1,5
135,44,5,2024-04-22,2024-04-11,10,8
136,24,48,2024-02-19,2024-03-13,9,3
137,7,12,2024-01-16,2024-02-27,8,9
138,83,24,2024-04-16,2024-04-12,2,9
139,97,6,2024-02-09,2024-02-27,1,5
140,55,22,2024-03-22,2024-05-07,2,8
141,57,48,2024-02-09,2024-04-21,6,3
142,98,28,2024-03-02,2024-02-26,8,3
143,1,2,2024-03-09,2024-03-23,7,7
144,60,2,2024-04-05,2024-01-11,5,2
145,88,12,2024-02-19,2024-03-20,8,10
146,47,17,2024-03-27,2024-04-07,3,6
147,72,25,2024-04-14,2024-02-08,9,8
148,15,15,2024-02-02,2024-01-20,5,4
149,68,15,2024-04-14,2024-02-19,2,8
150,76,30,2024-03-15,2024-03-11,3,7
151,61,23,2024-04-23,2024-05-02,7,5
152,84,18,2024-03-25,2024-02-27,2,8
153,36,44,2024-05-20,2024-04-24,2,8
154,44,19,2024-05-24,2024-04-08,9,4
155,57,39,2024-02-27,2024-04-26,8,6
156,80,33,2024-05-12,2024-04-20,3,4
157,82,1,2024-05-17,2024-05-25,1,1
158,100,15,2024-04-04,2024-04-03,2,3
159,45,29,2024-01-25,2024-03-12,7,6
160,93,45,2024-03-05,2024-04-27,3,8
161,71,8,2024-03-13,2024-04-11,8,9
162,13,23,2024-02-11,2024-01-13,4,10
163,42,30,2024-02-07,2024-02-15,5,4
164,3,26,2024-05-25,2024-03-11,7,6
165,34,43,2024-02-14,2024-03-17,7,4
166,58,21,2024-02-17,2024-05-16,8,8
167,77,41,2024-03-17,2024-03-30,8,2
168,84,48,2024-04-09,2024-04-23,7,6
169,95,20,2024-03-14,2024-04-23,9,7
170,75,39,2024-03-02,2024-01-15,4,8
171,15,28,2024-04-23,2024-05-17,2,2
172,42,15,2024-01-29,2024-03-19,7,7
173,96,46,2024-05-18,2024-04-08,1,5
174,44,15,2024-05-21,2024-04-24,10,2
175,1,28,2024-02-28,2024-03-30,2,1
176,53,10,2024-02-14,2024-05-31,2,8
177,14,3,2024-01-11,2024-02-25,3,6
178,30,39,2024-05-10,2024-05-21,7,7
179,6,7,2024-01-22,2024-04-16,9,8
180,32,6,2024-01-21,2024-02-05,8,6
181,52,43,2024-02-22,2024-01-04,9,4
182,33,44,2024-04-12,2024-01-23,3,5
183,40,21,2024-03-04,2024-05-04,8,8
184,3,24,2024-01-04,2024-04-24,5,6
185,91,12,2024-04-27,2024-01-30,9,9
186,21,5,2024-02-03,2024-04-03,7,8
187,45,14,2024-03-28,2024-01-10,8,4
188,30,25,2024-02-13,2024-01-15,2,7
189,87,41,2024-02-02,2024-01-17,3,6
190,47,34,2024-01-26,2024-05-26,7,6
191,64,3,2024-03-04,2024-03-27,7,8
192,44,45,2024-03-09,2024-04-29,1,10
193,3,28,2024-04-03,2024-03-24,3,9
194,95,40,2024-03-12,2024-01-19,6,10
195,87,17,2024-03-07,2024-05-17,7,9
196,23,2,2024-04-20,2024-02-18,1,10
197,91,47,2024-02-10,2024-01-01,10,7
198,58,11,2024-02-28,2024-03-13,6,9
199,41,36,2024-02-01,2024-01-15,1,5
200,48,2,2024-04-26,2024-03-24,1,7
